year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Sing Buri,TH17,73914,65996,139910,3260,3330,3292,2969,2673,3210,3409,3541,4712,6029,6545,7170,6749,5593,4616,3082,3734,3419,3497,3752,3575,2926,3494,3570,3496,4228,5352,5365,5885,5192,4469,3545,2151,2080,6679,6827,7044,6544,5599,6704,6979,7037,8940,11381,11910,13055,11941,10062,8161,5233,5814
2023,THA,Thailand,TH,Songkhla,TH90,805850,761000,1566850,48328,48862,45862,50786,57555,52439,52790,52800,55995,58534,56758,54600,50204,40411,30888,21193,27845,51377,51659,48747,50982,58183,56059,52936,50220,52980,54703,51192,48697,41817,33343,24860,15663,17582,99705,100521,94609,101768,115738,108498,105726,103020,108975,113237,107950,103297,92021,73754,55748,36856,45427
2023,THA,Thailand,TH,Sukhothai,TH64,299727,272159,571886,14747,15282,15945,12362,8402,10335,13247,16272,21398,26226,27719,29322,26493,21273,16654,11329,12721,15837,16585,17146,14307,9813,11015,12799,15352,19720,23871,24369,25039,21455,17091,12994,7907,6859,30584,31867,33091,26669,18215,21350,26046,31624,41118,50097,52088,54361,47948,38364,29648,19236,19580
2023,THA,Thailand,TH,Suphan Buri,TH72,368657,333646,702303,17678,18258,18725,16716,14368,16589,17986,19234,24974,30055,31404,33188,30960,26686,21479,13456,16901,18762,19669,19662,18165,16374,17994,18301,18363,23007,27110,26863,27956,24339,21195,16290,9691,9905,36440,37927,38387,34881,30742,34583,36287,37597,47981,57165,58267,61144,55299,47881,37769,23147,26806
2023,THA,Thailand,TH,Surat Thani,TH84,529213,511235,1040448,30386,29776,28522,29683,32289,36964,37509,38162,41173,40002,36634,33947,31633,26317,20516,15261,20439,31643,30786,30637,31322,34028,39770,38655,37918,42942,40563,35774,30628,25758,21370,16111,10885,12445,62029,60562,59159,61005,66317,76734,76164,76080,84115,80565,72408,64575,57391,47687,36627,26146,32884
2023,THA,Thailand,TH,Surin,TH32,401411,371893,773304,27045,28564,29319,21768,11768,13597,17158,21049,25793,29082,30732,32871,34304,28672,20226,13558,15905,27589,29950,30779,22767,13467,14432,16314,19957,24407,26897,28412,29058,28478,23106,15526,10448,10306,54634,58514,60098,44535,25235,28029,33472,41006,50200,55979,59144,61929,62782,51778,35752,24006,26211
2023,THA,Thailand,TH,Tak,TH63,248404,245152,493556,19939,21011,17774,15420,13747,15160,14520,14643,16790,17484,17617,16942,15506,12292,8058,5461,6040,21498,21743,18773,16042,14064,15002,14455,14356,16737,17694,17324,16433,14246,10873,6997,4733,4182,41437,42754,36547,31462,27811,30162,28975,28999,33527,35178,34941,33375,29752,23165,15055,10194,10222
2023,THA,Thailand,TH,Trang,TH92,262165,249072,511237,16206,15688,15863,14857,13240,15149,16380,17037,19278,20217,19388,19355,16443,13868,10728,7887,10581,17135,17066,16626,16057,14142,16113,16044,16255,18591,19844,18078,17152,13796,11060,8809,5931,6373,33341,32754,32489,30914,27382,31262,32424,33292,37869,40061,37466,36507,30239,24928,19537,13818,16954
2023,THA,Thailand,TH,Trat,TH23,130076,136604,266680,7747,7457,7264,7159,7694,9254,8753,8673,9882,9864,9939,9270,8289,6921,4859,3099,3952,8986,8004,7773,7725,8615,10687,10509,10129,10695,10487,9941,8871,7631,6464,4626,2673,2788,16733,15461,15037,14884,16309,19941,19262,18802,20577,20351,19880,18141,15920,13385,9485,5772,6740
2023,THA,Thailand,TH,Ubon Ratchathani,TH34,782529,754152,1536681,49889,52810,54062,46805,34872,34700,41915,49405,58423,56148,58928,59909,56996,47462,32445,21965,25795,52365,56255,57006,48020,38509,36008,40562,47384,57888,55071,56138,56636,50428,40479,25848,17169,18386,102254,109065,111068,94825,73381,70708,82477,96789,116311,111219,115066,116545,107424,87941,58293,39134,44181
2023,THA,Thailand,TH,Udon Thani,TH41,474205,451261,925466,28639,31356,31218,27405,19551,22030,26757,30459,36644,36676,38275,38389,36438,29495,18091,10985,11797,29841,32824,32663,28665,21905,22469,25359,29054,35292,35675,35254,35302,31921,24749,14533,8362,7393,58480,64180,63881,56070,41456,44499,52116,59513,71936,72351,73529,73691,68359,54244,32624,19347,19190
2023,THA,Thailand,TH,Uthai Thani,TH61,127023,117345,244368,7356,7471,7219,5514,3754,4676,5591,6634,8615,10002,10619,11902,10472,9828,7082,4469,5819,7524,8030,7778,6156,4253,4882,5234,6294,8077,9188,9469,10340,9303,8114,5818,3490,3395,14880,15501,14997,11670,8007,9558,10825,12928,16692,19190,20088,22242,19775,17942,12900,7959,9214
2023,THA,Thailand,TH,Uttaradit,TH53,178299,165537,343836,8352,9068,9358,8038,6130,5891,7293,9477,12169,14987,16443,17606,15188,13198,9919,7169,8013,8552,9718,9802,8705,7044,6430,7236,8804,11256,13612,14870,16109,13417,11280,8289,5426,4987,16904,18786,19160,16743,13174,12321,14529,18281,23425,28599,31313,33715,28605,24478,18208,12595,13000
2023,THA,Thailand,TH,Yala,TH95,197758,195861,393619,17415,17269,15724,13969,13421,12654,11712,11454,13061,13162,11161,12121,10737,8558,7001,3935,4404,17619,18057,16559,15091,13686,13013,11809,10998,12950,13265,10992,11663,9662,7726,5754,3439,3578,35034,35326,32283,29060,27107,25667,23521,22452,26011,26427,22153,23784,20399,16284,12755,7374,7982
2023,THA,Thailand,TH,Yasothon,TH35,178371,171043,349414,10116,11089,11601,8839,4694,5996,8043,10823,13432,13318,15160,15283,15812,13396,8826,5753,6190,10609,11983,12650,9622,6500,6684,7772,10410,13263,13313,14162,14397,13786,11364,6783,4120,3625,20725,23072,24251,18461,11194,12680,15815,21233,26695,26631,29322,29680,29598,24760,15609,9873,9815
