year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Nong Khai,TH43,180253,168854,349107,11491,12456,12732,9519,6315,7353,9681,11385,13713,14037,15061,14722,13446,11190,7391,4801,4960,11415,12782,13666,10352,6627,7437,8970,10595,12958,13585,13661,13023,11806,9222,5617,3631,3507,22906,25238,26398,19871,12942,14790,18651,21980,26671,27622,28722,27745,25252,20412,13008,8432,8467
2023,THA,Thailand,TH,Nonthaburi,TH12,1116409,1012800,2129209,40912,42492,45016,50781,61938,78904,84245,86039,96991,98559,93028,90738,82854,64681,42878,25002,31351,39847,41042,47527,55673,68795,80171,85143,76578,96826,91938,82720,66047,65361,47817,31997,20029,15289,80759,83534,92543,106454,130733,159075,169388,162617,193817,190497,175748,156785,148215,112498,74875,45031,46640
2023,THA,Thailand,TH,Pathum Thani,TH13,1414248,1338347,2752595,55409,55067,52905,88416,138170,147697,134770,120005,119859,105795,94265,86032,74195,58190,36820,21035,25618,57984,58783,55984,76655,123051,146806,131789,116598,121915,107297,89719,75363,61830,48950,32042,16540,17041,113393,113850,108889,165071,261221,294503,266559,236603,241774,213092,183984,161395,136025,107140,68862,37575,42659
2023,THA,Thailand,TH,Pattani,TH94,271644,257780,529424,21512,23535,22552,20879,17510,15820,14852,14512,16286,16882,14806,16710,15101,13583,11327,7389,8388,22248,24350,22791,21335,20001,17394,14717,13775,15212,15621,13398,14495,12730,10528,8207,5283,5695,43760,47885,45343,42214,37511,33214,29569,28287,31498,32503,28204,31205,27831,24111,19534,12672,14083
2023,THA,Thailand,TH,Phangnga,TH82,120735,125536,246271,8857,8023,7137,6134,6056,7988,8068,8144,8997,8974,8821,8590,7053,6116,4502,3197,4078,9077,8235,7733,7289,7517,9729,9309,8663,9804,9306,8731,8138,6658,5582,4033,2754,2978,17934,16258,14870,13423,13573,17717,17377,16807,18801,18280,17552,16728,13711,11698,8535,5951,7056
2023,THA,Thailand,TH,Phatthalung,TH93,203520,189028,392548,12432,11696,12144,11016,7908,9021,10782,12515,14109,14508,15034,15834,15723,13864,9681,7245,10008,12798,12483,13077,11881,9136,10113,10656,11617,13630,13827,13198,13618,12562,11411,7768,5217,6036,25230,24179,25221,22897,17044,19134,21438,24132,27739,28335,28232,29452,28285,25275,17449,12462,16044
2023,THA,Thailand,TH,Phayao,TH56,142654,137499,280153,6083,6540,7444,7349,4682,4568,5704,7241,10787,13733,15587,15396,11760,8873,6894,5038,4975,6334,6867,7804,7515,5227,5077,5674,6921,9740,13187,14554,14800,11089,8321,6244,4423,3722,12417,13407,15248,14864,9909,9645,11378,14162,20527,26920,30141,30196,22849,17194,13138,9461,8697
2023,THA,Thailand,TH,Phetchabun,TH67,392721,375790,768511,23028,24069,23479,18432,14185,15668,19570,21978,27281,31886,33967,35231,31304,25893,19095,12891,14764,23918,25432,25181,20621,16064,16998,19560,21266,25982,29484,32214,32336,27818,22998,16003,10009,9906,46946,49501,48660,39053,30249,32666,39130,43244,53263,61370,66181,67567,59122,48891,35098,22900,24670
2023,THA,Thailand,TH,Phetchaburi,TH76,227601,212870,440471,10623,11166,11385,11834,11061,12206,12791,13704,16538,17801,18748,18655,17377,13877,11239,7884,10712,11911,11799,12264,13334,13660,13687,13288,13468,15405,16029,16119,15770,14209,11373,8448,5757,6349,22534,22965,23649,25168,24721,25893,26079,27172,31943,33830,34867,34425,31586,25250,19687,13641,17061
2023,THA,Thailand,TH,Phichit,TH66,231071,213976,445047,12664,12469,12884,9891,6984,8544,9989,11389,15063,18786,20568,22465,20224,17143,13245,8546,10217,13060,13665,13953,11367,8111,9202,10200,11100,14029,17336,17957,19969,17196,13469,10716,6593,6053,25724,26134,26837,21258,15095,17746,20189,22489,29092,36122,38525,42434,37420,30612,23961,15139,16270
2023,THA,Thailand,TH,Phitsanulok,TH65,475865,446390,922255,24602,25123,25263,28667,23075,20485,22918,25688,33327,39473,40885,41943,37034,31141,22961,15076,18204,26159,26358,27186,27428,27518,22055,22194,24486,31499,37125,37963,38005,32205,25096,18896,11154,11063,50761,51481,52449,56095,50593,42540,45112,50174,64826,76598,78848,79948,69239,56237,41857,26230,29267
2023,THA,Thailand,TH,Phra Nakhon Si Ayutthaya,TH14,532512,496914,1029426,26234,21968,21731,24505,34489,51893,47563,40524,40565,38016,35189,35908,30810,29098,21041,13920,19058,26663,22977,23065,24954,32289,50001,47116,42153,41291,40865,32743,30570,24536,20861,15910,10059,10861,52897,44945,44796,49459,66778,101894,94679,82677,81856,78881,67932,66478,55346,49959,36951,23979,29919
2023,THA,Thailand,TH,Phrae,TH54,157253,146074,303327,6203,6844,7505,6965,3894,4873,5935,7570,11614,14704,16498,17002,14467,12599,8918,6046,5616,6461,7070,7848,7962,4999,5731,5943,7124,10700,13758,14922,15761,12392,10678,6756,4346,3623,12664,13914,15353,14927,8893,10604,11878,14694,22314,28462,31420,32763,26859,23277,15674,10392,9239
