ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
108,104,บ้านบ่อแก้ว - สะพานแม่ริด,143+400,638,230,54,11,9,1246,151,102,58,33,2532,14.38,0,688,เชียงใหม่ที่ 1,เชียงใหม่
323,206,ท่าขนุน - เจดีย์สามองค์,207+226,640,313,145,19,17,2635,118,34,19,8,3948,5.45,1,1440,กาญจนบุรี,กาญจนบุรี
1026,103,ผาเวียง - ปากนาย,56+457,640,162,9,0,0,275,77,9,0,0,1172,7.34,0,477,น่านที่ 1,น่าน
3249,100,เขาไร่ยา - แพร่งขาหยั่ง,37+958,640,186,18,17,15,5315,21,30,36,25,6303,2.29,32,2168,จันทบุรี,จันทบุรี
4194,100,ควนสงสาร - กระทูน,1+700,640,1023,39,12,6,404,94,22,3,1,2244,6.15,26,962,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
1087,100,ลี้ - ก้อทุ่ง,15+400,641,72,10,0,0,445,326,21,0,0,1515,22.9,25,834,ลำพูน,ลำพูน
2339,100,ศรีวิชา - กวนบุ่น,25+080,641,341,27,10,4,2191,110,18,0,8,3350,4.48,83,2219,สกลนครที่ 1,สกลนคร
1115,100,สากเหล็ก - น้อยซุ้มขี้เหล็ก,3+500,642,217,15,0,2,1424,79,51,71,53,2554,10.02,9,973,พิจิตร,พิจิตร
3004,202,ท่าตะโก - ไดตาล,47+298,643,172,0,1,25,2101,137,91,112,20,3302,11.69,4,543,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
2069,100,บำเหน็จณรงค์ - ซับใหญ่,3+000,644,687,156,40,29,968,321,109,92,73,3119,21.29,2,1030,ชัยภูมิ,ชัยภูมิ
1204,102,ฟากคลองตรอน - พิชัย,40+743,645,144,0,25,1,1435,55,30,52,8,2395,7.14,27,1827,อุตรดิตถ์ที่ 1,อุตรดิตถ์
2187,102,นายม -  หนองแวง,36+400,645,501,5,0,4,3205,89,250,148,182,5029,13.38,38,2037,ขอนแก่นที่ 2 (ชุมแพ),ชัยภูมิ
2312,100,หนองหาน - สุมเส้า,1+500,645,293,33,5,2,2617,177,74,26,31,3903,8.07,26,2444,อุดรธานีที่ 2 (หนองหาน),อุดรธานี
2354,101,เทพสถิต - ซับใหญ่,50+500,647,1289,43,4,27,219,83,25,32,6,2375,7.45,0,1165,ชัยภูมิ,ชัยภูมิ
3184,100,ดงคอน - ปากน้ำ,2+500,647,202,0,1,5,1283,218,285,557,132,3330,35.98,18,471,ชัยนาท,ชัยนาท
3401,100,เนินโมก - ทับร้าง,3+000,649,474,523,467,232,1128,523,424,303,306,5029,44.84,223,623,ชลบุรีที่ 1,ชลบุรี
108,201,สะพานแม่ริด - ห้วยงู,156+700,650,355,28,15,13,632,117,80,75,20,1985,16.12,0,634,แม่ฮ่องสอน,แม่ฮ่องสอน
1301,200,หนองระมาน - วังโป่ง,12+000,650,163,7,6,4,187,52,31,11,9,1120,10.09,55,494,เพชรบูรณ์ที่ 2 (บึงสามพัน),เพชรบูรณ์
4331,100,ห้วยกรวด - มะลวน,1+000,650,72,13,6,0,119,18,14,1,0,893,4.37,28,462,สุราษฎร์ธานีที่ 1 (พุนพิน),สุราษฎร์ธานี
1128,100,เชียงเคี่ยน - ป่าแงะ,4+000,652,624,81,5,6,1249,137,88,66,32,2940,11.36,6,503,เชียงรายที่ 2,เชียงราย
4184,100,ควนสตอ - วังประจัน,3+500,652,344,17,28,12,650,158,93,7,3,1964,15.33,36,1455,สตูล,สตูล
1214,102,น้ำอ่าง - วังผาชัน,13+500,654,336,10,14,3,1540,101,70,88,65,2881,11.84,14,502,อุตรดิตถ์ที่ 1,อุตรดิตถ์
2328,102,ปวงตึก - นาตำบล,32+197,658,384,7,1,1,690,206,37,26,4,2014,13.65,35,903,สุรินทร์,สุรินทร์
2092,100,เหล่าอุดม  - ท่าห้วยหลัว,5+500,659,452,109,111,85,2163,280,192,132,106,4289,21.12,138,1241,อุดรธานีที่ 2 (หนองหาน),อุดรธานี
2328,101,แยกเขาช่องจอม - ปวงตึก,2+227,659,39,1,0,0,243,45,26,66,10,1089,13.5,11,528,สุรินทร์,สุรินทร์
1092,100,ปง - ปัวดอย,5+000,660,52,4,9,3,1336,73,17,15,1,2170,5.44,9,1034,พะเยา,พะเยา
2215,100,บุ่งน้ำเต้า - โนนสว่าง,1+000,665,531,24,3,0,1060,112,58,6,7,2466,7.54,103,861,เพชรบูรณ์ที่ 1,เพชรบูรณ์
3456,101,หนองกระดี่  - คลองข่อย,15+000,665,40,3,4,4,826,28,31,29,27,1657,7.42,26,640,อุทัยธานี,อุทัยธานี
1093,200,ขุนห้วยไคร้ - ผาตั้ง,53+926,667,94,42,20,3,1494,42,20,4,4,2390,3.89,81,729,เชียงรายที่ 2,เชียงราย
2013,102,น้ำเทิน - บ่อโพธิ์,25+763,667,852,46,1,1,272,72,16,2,3,1932,4.92,65,758,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
2195,101,เชียงคาน - ปากคาน,8+050,668,59,6,0,24,536,236,305,188,64,2086,39.17,86,864,เลยที่ 2 (ด่านซ้าย),เลย
4343,100,ควนกลิ้ง - ในปราบ,2+700,668,102,3,1,14,262,31,10,1,0,1092,5.22,2,747,สุราษฎร์ธานีที่ 3 (เวียงสระ),สุราษฎร์ธานี
3410,100,เขื่อนเพชร - ห้วยโสก,30+000,670,512,0,0,0,1500,543,381,0,0,3606,25.62,64,1030,เพชรบุรี,เพชรบุรี
4151,300,น้ำตก - กะปาง,60+693,670,124,15,6,2,1243,87,25,10,4,2186,6.13,1,882,ตรัง,ตรัง
1117,100,คลองแม่ลาย - อุ้มผาง,1+500,672,80,17,4,0,1594,91,70,73,17,2618,9.74,15,767,กำแพงเพชร,กำแพงเพชร
3209,101,ท่ามะกา - แสนตอ,0+500,672,634,25,0,0,1463,159,266,160,33,3412,18.11,9,1057,กาญจนบุรี,กาญจนบุรี
3212,200,ไร่พัฒนา - หนองโพ,23+200,672,283,0,2,0,1631,147,176,51,18,2980,13.22,9,1682,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1268,100,เหมืองแพร่ - นาเจริญ,5+000,673,172,14,11,0,520,219,82,46,10,1747,21.07,30,703,เลยที่ 2 (ด่านซ้าย),เลย
4006,100,ราชกรูด - วังตะกอ,2+500,673,148,32,16,37,1380,204,223,110,173,2996,25.47,3,555,ระนอง,ระนอง
3329,100,ตาคลี - หนองหลวง,1+000,674,209,45,30,6,1910,215,163,34,18,3304,14.1,30,1081,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1118,100,ท่าพุทรา - เนินมะกอก,9+700,676,482,50,0,27,1134,63,57,101,23,2613,10.37,3,1049,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1268,100,เหมืองแพร่ - นาเจริญ,10+500,676,170,15,10,0,496,204,88,41,1,1701,20.22,15,622,เลยที่ 2 (ด่านซ้าย),เลย
4230,100,ควนไม้แดง - มะนาวหวาน,10+307,678,783,15,1,0,312,89,50,30,22,1980,9.7,5,307,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
213,301,สมเด็จ - สร้างค้อ,106+963,681,263,6,10,38,1421,148,144,63,92,2866,17.27,1,121,สกลนครที่ 1,กาฬสินธุ์
311,300,บ้านม้า - ชัยนาท,64+242,682,316,41,18,57,1527,152,132,57,15,2997,14.38,5,1357,ชัยนาท,ชัยนาท
2135,100,ดอนใหญ่ - หนามแท่ง,36+391,684,114,123,87,61,2388,200,108,125,50,3940,16.02,76,1490,อำนาจเจริญ,อุบลราชธานี
1048,100,ดอนไชย - หอรบ,34+042,686,158,27,4,19,535,74,24,27,19,1573,10.62,4,202,ลำปางที่ 1,ลำปาง
1256,101,ปัว - อุทยานแห่งชาติดอยภูคา,3+500,687,472,114,82,20,476,372,180,43,4,2450,28.61,280,789,น่านที่ 2,น่าน
1312,200,กำแพงดิน - สามแยกกำแพงดิน,11+400,688,60,0,0,0,514,153,23,92,31,1561,19.15,12,714,พิษณุโลกที่ 1,พิษณุโลก
1099,100,บ่อหลวง - แม่ตื่น,1+600,689,316,32,0,0,542,265,46,22,0,1912,17.42,0,830,เชียงใหม่ที่ 1,เชียงใหม่
3447,101,หนองระหาน - คลองเวฬุ,0+500,689,492,16,0,0,1137,230,153,131,65,2913,19.88,34,741,ตราด,จันทบุรี
2145,100,หนองยาง - บ้านซาง,2+000,694,495,160,152,167,686,228,229,188,168,3167,35.74,207,752,บึงกาฬ,บึงกาฬ
3211,200,กะบกเตี้ย - แยกหูช้าง,57+172,694,72,1,4,0,1307,49,60,54,3,2244,7.58,9,982,อุทัยธานี,อุทัยธานี
224,301,หนองสนวน - หนองต้อ,124+667,698,380,35,30,41,1295,343,166,152,56,3196,24.66,33,902,บุรีรัมย์,บุรีรัมย์
108,201,สะพานแม่ริด - ห้วยงู,197+100,699,603,54,3,2,584,99,51,53,6,2154,9.94,2,996,แม่ฮ่องสอน,แม่ฮ่องสอน
1093,200,ขุนห้วยไคร้ - ผาตั้ง,65+426,701,130,63,45,40,1485,100,33,13,6,2616,9.06,72,829,เชียงรายที่ 2,เชียงราย
3901,400,คลองซอย 26 - คลองระพีพัฒน์,0+550,702,725,128,58,4,635,518,514,415,374,4073,46.23,9,610,อยุธยา,พระนครศรีอยุธยา
4155,100,บาเจาะ - บ้านทอน,0+800,705,530,17,0,1,673,72,74,50,4,2126,9.45,51,1704,นราธิวาส,นราธิวาส
4141,100,หน้าทับ - ทอนหงส์,6+700,706,424,32,0,0,1428,54,26,8,0,2678,3.29,16,2255,นครศรีธรรมราชที่ 1,นครศรีธรรมราช
4246,100,เขาวง - หน้าเขา,3+000,707,721,21,37,11,930,64,67,29,4,2591,8.18,3,663,สุราษฎร์ธานีที่ 3 (เวียงสระ),สุราษฎร์ธานี
4074,100,กะลาพอ - ปากู,2+000,709,988,52,58,6,51,72,54,15,3,2008,10.36,7,1141,ปัตตานี,ปัตตานี
1214,102,น้ำอ่าง - วังผาชัน,12+900,712,208,7,16,4,1561,99,81,99,61,2848,12.64,15,645,อุตรดิตถ์ที่ 1,อุตรดิตถ์
1095,100,หนองโค้ง - กิ่วคอหมา,36+284,719,703,28,19,0,337,147,21,13,4,1991,10.25,28,565,เชียงใหม่ที่ 3,เชียงใหม่
2354,101,เทพสถิต - ซับใหญ่,1+000,721,926,47,39,36,1874,150,70,87,48,3998,10.76,2,1445,ชัยภูมิ,ชัยภูมิ
12,603,น้ำดุก - ห้วยซำมะคาว,409+043,722,409,0,0,29,1699,152,30,14,8,3063,7.61,0,67,เพชรบูรณ์ที่ 1,เพชรบูรณ์
1012,100,ฮอด - วังลุง,5+725,724,93,6,0,0,370,54,67,139,8,1461,18.34,0,845,เชียงใหม่ที่ 1,เชียงใหม่
2410,100,บ้านเหล่า - ดอนกลอย,7+200,724,293,129,1,0,2742,185,66,13,10,4163,6.61,20,2480,อุดรธานีที่ 2 (หนองหาน),อุดรธานี
4018,200,ไม้เสียบ - หัวถนน,29+562,724,1075,11,0,1,575,42,15,3,1,2447,2.53,40,1506,พัทลุง,พัทลุง
4151,203,กะปาง - บางขัน,72+543,724,130,14,8,4,1228,153,55,200,20,2536,17.35,4,601,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
1068,101,คลองคะเชนทร์ - โพธิ์ประทับช้าง,14+500,726,57,2,1,0,1840,74,39,18,7,2764,5.03,3,1029,พิจิตร,พิจิตร
2346,100,ดอนเชียงบาน - นาหว้า,4+100,726,473,111,39,17,1457,214,52,27,11,3127,11.51,9,844,สกลนครที่ 1,สกลนคร
214,302,ตาฮะ - จอมพระ,135+622,728,392,100,145,166,1416,358,373,463,303,4444,40.68,32,1011,สุรินทร์,สุรินทร์
4092,200,จะรังตาดง - มายอ,30+000,730,1143,25,30,4,119,52,20,6,3,2132,5.39,15,1569,ปัตตานี,ปัตตานี
4112,201,สวนแตง - ไชยา,42+718,730,148,7,9,4,882,24,8,7,6,1825,3.18,3,902,สุราษฎร์ธานีที่ 1 (พุนพิน),สุราษฎร์ธานี
1068,101,คลองคะเชนทร์ - โพธิ์ประทับช้าง,0+400,732,95,3,4,510,660,66,22,7,2,2101,29.08,32,1062,พิจิตร,พิจิตร
2236,100,สำโรงเกียรติ - ช่องพระพลัย,0+500,733,492,0,0,0,286,25,3,0,0,1539,1.82,11,1234,ศรีสะเกษที่ 2,ศรีสะเกษ
2376,100,น้ำซึม - โสกกล้า,10+000,733,188,19,6,9,1307,94,32,24,11,2423,7.26,4,641,อุดรธานีที่ 1,อุดรธานี
4138,100,โคกสัก - หาดไข่เต่า,3+700,733,564,9,3,4,1441,80,39,10,4,2887,4.85,6,1371,พัทลุง,พัทลุง
2308,100,บ้านขาม - บ้านเซือม,2+070,735,591,30,8,1,96,34,13,3,3,1514,4.1,39,838,สกลนครที่ 2 (สว่างแดนดิน),สกลนคร
128,100,ทางเลี่ยงเมืองแม่ฮ่องสอน,0+500,737,76,99,5,4,1221,77,27,5,0,2251,5.24,75,1896,แม่ฮ่องสอน,แม่ฮ่องสอน
2230,100,เหล่าอุดม - บ้านปัก,3+000,737,722,106,94,133,1539,238,231,175,127,4102,24.33,76,1234,อุดรธานีที่ 2 (หนองหาน),หนองคาย
4181,100,โคกทราย - ปากพะยูน,23+500,737,316,84,17,7,1110,156,105,24,4,2560,12.23,26,1295,พัทลุง,พัทลุง
1113,102,ดอนโก - ชะเลียง,40+000,738,333,40,44,11,272,111,154,218,45,1966,29.65,94,285,สุโขทัย,สุโขทัย
1276,100,สี่แยกหนองหัวปลวก - วังจิก,4+820,740,132,0,1,0,1257,92,49,62,28,2361,9.83,4,452,พิจิตร,พิจิตร
2073,103,ลำปลายมาศ - หนองโดนน้อย,46+527,740,156,45,22,2,2595,248,48,190,27,4073,13.18,11,2274,บุรีรัมย์,บุรีรัมย์
2373,100,โนนสำนัก - ดอนไม้งาม,0+500,744,683,13,15,3,1595,38,30,10,4,3135,3.19,4,1758,ศรีสะเกษที่ 1,ศรีสะเกษ
3400,100,หนองเอื้อง - ทุ่งขาม,0+500,745,504,0,0,0,1305,682,333,5,0,3574,28.54,72,1066,เพชรบุรี,เพชรบุรี
1201,100,สวรรคโลก - ป่ากล้วย,2+200,746,927,25,25,20,581,112,77,51,30,2594,12.14,41,896,สุโขทัย,สุโขทัย
4269,102,คลองมวน - คลองโกง,14+530,746,205,0,0,0,1643,103,52,32,13,2794,7.16,6,1173,ตรัง,ตรัง
234,100,ทางเลี่ยงเมืองเพชรบูรณ์,9+000,747,621,0,0,0,864,371,358,264,236,3461,35.51,189,675,เพชรบูรณ์ที่ 1,เพชรบูรณ์
3454,100,แยกเข้าโรงเรียนคุรุประชาสรรค์ - สะพานของโครงการฯชัณสูตร,2+000,748,170,22,2,17,1572,67,60,98,15,2771,9.35,6,1126,ชัยนาท,ชัยนาท
4254,100,หนองไทร - ยางงาม,3+000,748,564,0,0,0,613,176,79,2,2,2184,11.86,0,768,สุราษฎร์ธานีที่ 1 (พุนพิน),สุราษฎร์ธานี
2081,200,ลำพังชู - พุทไธสง,71+433,749,675,0,0,0,958,530,351,302,211,3776,36.92,62,670,บุรีรัมย์,บุรีรัมย์
3209,102,แสนตอ - ด่านมะขามเตี้ย,18+000,749,342,2,5,4,1441,116,231,167,50,3107,18.44,4,749,กาญจนบุรี,กาญจนบุรี
107,202,แม่ทะลาย - หัวโท,73+055,750,270,21,0,6,3311,371,156,103,70,5058,13.96,23,541,เชียงใหม่ที่ 3,เชียงใหม่
4227,100,สำนักขัน - เหนือคลอง,1+700,750,651,0,0,11,220,59,27,0,0,1718,5.65,43,1300,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
3372,102,สามโก้ - สีบัวทอง,27+000,751,134,25,23,39,1201,40,20,17,14,2264,6.76,77,1024,อ่างทอง,อ่างทอง
2329,100,เพ็ญ - สร้างคอม,3+000,752,375,6,41,6,2185,157,75,42,27,3666,9.49,6,1910,อุดรธานีที่ 2 (หนองหาน),อุดรธานี
1346,101,พร้าว - แดนดิน,2+500,753,1118,261,80,52,1892,570,163,43,11,4943,18.59,185,1454,เชียงใหม่ที่ 3,เชียงใหม่
2115,101,ปากภู - โคกใหญ่,2+000,754,669,0,0,18,890,494,365,258,101,3549,34.83,47,927,เลยที่ 2 (ด่านซ้าย),เลย
117,402,ไร่อ้อย - อุตรดิตถ์,212+620,756,212,0,0,0,1306,105,46,81,21,2527,10.01,4,283,อุตรดิตถ์ที่ 1,อุตรดิตถ์
4157,102,ปะเสยะวอ - ปะนาเระ,7+535,756,354,42,6,1,110,22,39,0,0,1330,5.11,25,1217,ปัตตานี,ปัตตานี
2199,100,ชนบท - กุดรู,4+500,757,332,34,4,1,2034,134,31,25,9,3361,6.07,1,1266,ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
4085,100,ปากน้ำเทพา - ธารคีรี,19+950,757,432,0,0,12,2172,156,78,54,32,3693,8.99,3,967,สงขลาที่ 2 (นาหม่อม),สงขลา
2201,101,ขุขันธ์ - แยกนาเจริญ,1+850,758,318,123,37,34,2491,186,72,59,14,4092,9.82,43,2116,ศรีสะเกษที่ 1,ศรีสะเกษ
1107,102,หนองบัวเหนือ - ท่าปุย,31+215,760,1558,64,5,1,76,64,6,0,0,2534,3,27,1609,ตากที่ 1,ตาก
2411,100,บ้านพลับ - หนองนกเขียน,0+800,762,142,21,5,9,313,134,126,137,35,1684,26.49,29,786,อุดรธานีที่ 1,อุดรธานี
3229,100,หนองบัว - ด่านแม่ธะมี่(เขตแดนไทย/พม่า),18+772,763,404,12,5,6,835,71,36,8,5,2145,6.11,5,592,กาญจนบุรี,กาญจนบุรี
3217,100,กุยบุรี - ยางชุม,0+500,765,97,10,12,9,2016,102,215,37,14,3277,11.87,363,1936,ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
1299,100,เวียงชัย - บ้านปง,1+000,768,381,2,3,3,1534,102,130,128,68,3119,13.92,130,993,เชียงรายที่ 2,เชียงราย
2342,100,สว่างแดนดิน - ส่องดาว,1+200,770,212,37,27,1,2160,73,30,21,0,3331,4.56,3,2198,สกลนครที่ 2 (สว่างแดนดิน),สกลนคร
42,102,นาทวี - ลำไพล,49+771,771,689,46,24,17,906,65,52,58,24,2652,9.05,44,983,สงขลาที่ 2 (นาหม่อม),สงขลา
3157,102,บ่อไร่ - แหลมค้อ,81+000,771,204,22,0,0,2100,43,21,2,0,3163,2.09,1,1372,ตราด,ตราด
3158,100,แสนตุ้ง - หนองบัว,20+937,771,112,55,0,0,1513,92,76,9,0,2628,6.74,4,1202,ตราด,ตราด
4259,102,ห้วยสลิง - น้ำดำ,45+000,775,874,26,18,0,790,84,31,13,5,2616,5.77,11,928,สุราษฎร์ธานีที่ 1 (พุนพิน),สุราษฎร์ธานี
2321,100,ใหม่สามัคคี - นิยมชัย,3+400,777,549,10,9,8,1042,250,145,113,89,2992,20.52,127,736,ลพบุรีที่ 2 (ลำนารายณ์),ลพบุรี
2246,201,โคกสำราญ - โคกสี,34+631,781,250,13,49,4,502,144,57,90,28,1918,19.4,12,664,นครราชสีมาที่ 1,นครราชสีมา
4085,100,ปากน้ำเทพา - ธารคีรี,45+100,782,434,2,0,5,2611,112,52,5,22,4025,4.87,7,3023,สงขลาที่ 2 (นาหม่อม),สงขลา
4095,100,สะบ้าย้อย - เขาแดง,1+050,783,552,0,0,0,2442,128,74,28,25,4032,6.32,11,2713,สงขลาที่ 2 (นาหม่อม),สงขลา
2022,100,นิคม - บ้านดุง,27+000,784,550,8,4,0,1993,288,169,91,86,3973,16.06,15,1001,อุดรธานีที่ 2 (หนองหาน),อุดรธานี
1375,100,หนองกระทุ่ม - ดงเย็น,6+000,785,748,33,27,10,1192,114,113,195,55,3272,15.71,37,824,กำแพงเพชร,กำแพงเพชร
4194,100,ควนสงสาร - กระทูน,25+607,786,451,15,9,3,538,234,50,23,11,2120,15.57,54,1321,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
2219,102,ดอนดึง - โคกเจริญ,17+000,787,1321,114,349,124,619,402,335,435,161,4647,38.86,191,1043,ลพบุรีที่ 1,ลพบุรี
1091,102,ห้วยคอกหมู - ป่าแดง,34+000,788,441,13,3,7,892,340,179,176,63,2902,26.47,9,285,พะเยา,พะเยา
2335,100,ภูมิซรอล  - สำโรงเกียรติ,0+700,788,459,8,6,17,542,109,90,6,8,2033,11.61,106,1244,ศรีสะเกษที่ 2,ศรีสะเกษ
4053,100,ควนเนียง - ปากบาง,2+300,789,637,159,9,13,350,94,55,4,3,2113,8.42,38,1358,สตูล,สงขลา
3184,100,ดงคอน - ปากน้ำ,9+500,790,250,2,0,3,878,267,294,684,150,3318,42.13,5,322,ชัยนาท,สุพรรณบุรี
2167,200,ท่าด่าน - สำโรงทาบ,38+426,794,210,14,8,4,1646,143,29,15,0,2863,6.95,44,3186,สุรินทร์,สุรินทร์
3342,100,วังขอน - บ่อพลอย,20+500,794,353,4,3,3,2355,133,133,158,80,4016,12.7,3,403,สุพรรณบุรีที่ 2 (อู่ทอง),กาญจนบุรี
2076,200,หนองฮู - ส้มป่อยน้อย,57+485,796,195,49,16,5,2054,138,48,30,29,3360,7.92,5,976,ศรีสะเกษที่ 1,ศรีสะเกษ
3085,100,ยางเกาะ - ศรีมงคล,0+500,796,569,36,0,3,1964,158,170,82,49,3827,12.07,71,1219,กาญจนบุรี,กาญจนบุรี
12,904,ลำน้ำพาน - บ้านหลุบ,3+500,799,876,38,0,0,189,153,58,29,30,2172,12.43,67,449,กาฬสินธุ์,กาฬสินธุ์
4049,100,ห้วยทราย - ปากพะยูน,18+200,805,200,19,1,1,1655,162,109,26,14,2992,10.46,6,2181,พัทลุง,พัทลุง
2406,100,บ้านโคก - ธาตุกลาง,0+800,806,207,41,37,27,336,215,46,9,4,1728,19.56,113,612,อุบลราชธานีที่ 1,อุบลราชธานี
2187,101,หนองเรือ -  นายม,5+000,809,448,17,6,25,2346,169,81,136,46,4083,11.34,15,1339,ขอนแก่นที่ 2 (ชุมแพ),ขอนแก่น
4071,200,วังพญา - พิเทน,21+000,809,985,67,21,7,54,33,20,9,5,2010,4.73,13,987,ปัตตานี,ปัตตานี
3443,101,ตลาดใหม่ - ตลุงเหนือ,7+700,810,348,0,1,8,1350,145,160,111,62,2995,16.26,8,1005,สุพรรณบุรีที่ 2 (อู่ทอง),กาญจนบุรี
205,301,ช่องสำราญ - คำปิง,119+872,812,2435,79,6,30,260,217,171,330,27,4367,17.88,0,984,ชัยภูมิ,ชัยภูมิ
2339,100,ศรีวิชา - กวนบุ่น,22+000,812,227,105,42,49,1565,128,58,34,32,3052,11.24,123,1733,สกลนครที่ 1,สกลนคร
3462,100,สระแก้ว - แซร์ออ,51+263,814,495,243,300,213,1622,904,750,740,630,6711,52.71,182,743,สระแก้ว (วัฒนานคร),สระแก้ว
3504,200,ห้วยน้ำดัง - เขาชนกัน,18+412,815,1272,43,40,40,737,321,311,344,262,4185,31.49,245,1146,นครสวรรค์ที่ 1,นครสวรรค์
4165,100,ชะอวด - บ้านตูล,7+500,824,625,35,13,29,1578,265,216,61,15,3661,16.36,22,1276,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
3050,100,ทางเข้าน้ำตกสาริกา,1+000,827,722,0,0,0,0,0,0,0,0,1549,0,166,730,นครนายก,นครนายก
202,300,ตลาดไทร - ลำพังชู,123+622,828,732,79,95,138,2441,662,582,508,462,6527,37.49,0,677,บุรีรัมย์,บุรีรัมย์
3024,100,บ้านหมี่ - เขาช่องลม,14+000,833,681,1,0,5,160,90,20,6,2,1798,6.84,6,488,ลพบุรีที่ 1,ลพบุรี
224,400,ตาเมียง - หินโคน,202+966,836,244,68,31,8,410,83,32,166,6,1884,17.3,29,714,สุรินทร์,สุรินทร์
3249,100,เขาไร่ยา - แพร่งขาหยั่ง,47+500,837,340,18,18,18,4376,35,31,27,28,5728,2.74,28,1878,จันทบุรี,จันทบุรี
2170,102,วัดปทุมชาติ - หนองจาน,4+040,839,363,27,5,25,476,145,92,125,120,2217,23.09,78,673,ชัยภูมิ,ชัยภูมิ
1385,100,แม่ต๋ำน้อย -ชมภู,6+322,840,475,30,11,7,1182,104,132,56,78,2915,13.31,86,1117,เชียงรายที่ 2,เชียงราย
4329,100,ทางเข้าสหกรณ์ทุ่งสง,1+398,840,393,11,1,0,249,36,5,1,8,1544,3.3,6,885,นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
2092,200,ท่าห้วยหลัว - กุดเรือคำ,22+830,841,620,11,6,0,727,310,159,97,87,2858,23.06,163,877,บึงกาฬ,สกลนคร
4071,100,โกตาบารู - วังพญา,5+000,841,874,28,6,0,683,46,18,5,0,2501,3,10,1453,ยะลา,ยะลา
4161,100,สิชล - จอมทอง,4+500,842,615,16,12,0,631,30,6,0,0,2152,2.23,12,1032,นครศรีธรรมราชที่ 1,นครศรีธรรมราช
3564,100,พัฒนานิคม - แก่งเสือเต้น,2+000,843,685,90,77,55,142,124,103,46,39,2204,20.15,64,609,ลพบุรีที่ 1,ลพบุรี
1322,100,แม่จา - รินหลวง,56+000,844,1350,183,0,0,734,391,102,0,0,3604,13.68,74,2712,เชียงใหม่ที่ 3,เชียงใหม่
107,300,เมืองงาม - แม่จัน,238+238,846,483,61,7,0,1002,283,40,17,6,2745,12.86,26,740,เชียงรายที่ 1,เชียงราย
2013,101,บ้านแยง - น้ำเทิน,3+000,851,1894,3,55,59,627,107,44,48,17,3705,8.91,0,588,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
1300,100,ฆะมัง - โพธิ์ประทับช้าง,0+200,853,82,7,4,2,882,58,15,5,22,1930,5.49,7,554,พิจิตร,พิจิตร
2259,100,เสลภูมิ - คำโพนสูง,42+400,853,595,68,51,69,1054,339,206,117,72,3424,24.94,52,936,ยโสธร,ร้อยเอ็ด
1045,202,เขื่อนสิริกิติ์ - ห้วยหูด,55+986,854,429,12,12,12,1607,292,305,0,0,3523,17.63,0,1283,อุตรดิตถ์ที่ 2,อุตรดิตถ์
1048,100,ดอนไชย - หอรบ,26+257,854,249,22,5,23,287,83,24,35,18,1600,11.75,2,326,ลำปางที่ 1,ลำปาง
333,100,อู่ทอง - สระกระโจม,18+000,855,286,4,103,2,2572,132,192,158,64,4368,14.9,10,847,สุพรรณบุรีที่ 2 (อู่ทอง),สุพรรณบุรี
2307,100,วานรนิวาส - บ้านเซือม,10+000,856,138,84,10,1,2057,127,72,73,31,3449,9.1,29,812,สกลนครที่ 2 (สว่างแดนดิน),สกลนคร
290,102,ถนนวงแหวนรอบเมืองนครราชสีมาด้านทิศใต้,1+500,859,463,0,0,47,641,383,288,311,235,3227,39.17,18,153,นครราชสีมาที่ 2,นครราชสีมา
107,300,เมืองงาม - แม่จัน,209+431,860,161,65,7,6,119,73,24,19,3,1337,9.87,8,408,เชียงรายที่ 1,เชียงราย
