ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
1226,100,จ่าโบ่ -  ปางคาม,9+515,77,6,1,0,0,226,10,6,0,0,326,4.91,4,360,แม่ฮ่องสอน,แม่ฮ่องสอน
1270,100,กองลอย - แม่แฮใต้,42+218,77,2,0,0,0,378,54,65,26,0,602,24.09,17,385,เชียงใหม่ที่ 1,แม่ฮ่องสอน
2330,100,สร้างค้อ - ห้วยหวด,1+000,78,30,1,6,0,500,45,10,2,1,673,9.51,7,430,สกลนครที่ 1,สกลนคร
3199,103,ช่องสะเดา - ศรีสวัสดิ์,116+906,80,41,18,17,17,213,46,11,0,0,443,20.54,3,235,กาญจนบุรี,กาญจนบุรี
3420,100,ทางเข้าหนองไผ่,0+200,81,131,6,2,0,143,17,10,10,2,402,10.2,7,130,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1150,101,ปิงโค้ง - กิ่วไฮ,12+250,83,29,6,0,0,947,167,3,2,0,1237,13.91,15,824,เชียงใหม่ที่ 3,เชียงใหม่
1290,102,กิ่วกาญน์ - เชียงของ,78+160,84,90,0,0,703,583,147,173,194,180,2154,64.86,38,154,เชียงรายที่ 2,เชียงราย
3440,100,ดอนพรหม - ตลาดเขต,3+330,88,25,0,0,0,434,27,27,15,6,622,12.06,2,241,สุพรรณบุรีที่ 2 (อู่ทอง),สุพรรณบุรี
1149,102,ป่ากล้วย - ห้วยน้ำริน,28+860,89,59,15,0,0,0,0,0,0,0,163,0,0,191,เชียงรายที่ 1,เชียงราย
3199,103,ช่องสะเดา - ศรีสวัสดิ์,115+691,89,49,18,17,0,256,62,17,0,0,508,18.9,4,275,กาญจนบุรี,กาญจนบุรี
3479,100,ทับพริก - เขาตาง๊อก,11+020,90,80,0,0,0,94,29,19,0,0,312,15.39,27,86,สระแก้ว (วัฒนานคร),สระแก้ว
1345,100,ทุ่งบานเย็น - ผาแดงบน,7+150,94,29,4,0,0,775,72,0,0,0,974,7.39,85,1419,พะเยา,พะเยา
1350,100,ทางเข้าโครงการพระราชดำริศูนย์ภูฟ้าพัฒนา,0+100,95,65,17,16,15,12,0,0,0,0,220,14.09,0,101,น่านที่ 2,น่าน
1088,102,สะพานแม่กิ๊ดหลวง - แม่ซา,50+142,96,336,4,3,0,837,33,18,5,0,1332,4.43,23,683,เชียงใหม่ที่ 1,เชียงใหม่
1230,100,บ้านใหม่ - ห้วยแก้ว,0+500,97,0,0,0,0,387,31,53,0,0,568,14.79,0,485,เชียงใหม่ที่ 2,เชียงใหม่
2393,101,โนนเห็น - คำกุ่ง,8+000,105,12,8,1,0,1149,48,57,42,2,1424,10.53,10,643,อุดรธานีที่ 2 (หนองหาน),อุดรธานี
1322,100,แม่จา - รินหลวง,127+056,106,49,72,3,0,511,22,6,2,8,779,5.26,21,478,เชียงใหม่ที่ 3,เชียงใหม่
1191,100,หนองขนาก - ท้ายดง,0+060,112,38,6,1,0,350,24,18,40,4,593,14.67,6,235,พิจิตร,พิจิตร
213,303,ทางเข้าพระตำหนักภูพานราชนิเวศน์,0+050,114,63,1,0,0,187,7,0,0,0,372,1.88,5,163,สกลนครที่ 1,สกลนคร
3595,100,วังโพธิ์ - ลุ่มสุ่ม,0+575,115,87,18,2,1,107,9,0,0,0,339,3.54,0,67,กาญจนบุรี,กาญจนบุรี
1155,102,ทรายกาด - บ้านลุง,37+000,116,136,113,2,2,1402,98,40,103,17,2029,12.91,117,580,เชียงรายที่ 2,เชียงราย
1237,100,ชาติตระการ - ชำนาญจุ้ย,12+200,116,55,3,0,0,796,24,1,1,0,996,2.61,21,381,พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
1314,100,ท่าตอน - แม่แหลง,10+000,117,32,49,0,0,1340,10,0,0,0,1548,0.65,26,493,เชียงใหม่ที่ 3,เชียงใหม่
3511,100,แสนสุข - จารย์จู,13+200,118,62,0,0,0,557,95,63,0,0,895,17.65,129,464,สระแก้ว (วัฒนานคร),สระแก้ว
1349,100,สะเมิง - วัดจันทร์,0+100,119,31,28,0,0,900,21,2,0,0,1101,2.09,30,631,เชียงใหม่ที่ 2,เชียงใหม่
2275,201,ซับลังกา - แยกศรีเทพ,16+673,119,51,9,7,6,491,65,48,25,24,845,20.71,64,334,เพชรบูรณ์ที่ 2 (บึงสามพัน),เพชรบูรณ์
4113,100,ประกอบ - บ้านวัด,0+400,119,34,11,6,2,330,3,0,0,0,505,2.18,5,637,สงขลาที่ 2 (นาหม่อม),สงขลา
3480,100,ปลักประดู่ - ถ้ำธารลอด,5+000,120,52,4,2,0,1317,89,51,11,7,1653,9.68,12,810,สุพรรณบุรีที่ 2 (อู่ทอง),สุพรรณบุรี
1108,100,ค่ายพระเจ้าตาก - นาโบสถ์,1+000,121,34,10,3,0,484,78,91,2,3,826,21.43,3,303,ตากที่ 1,ตาก
4272,100,ยือนัง - คลองชิง,13+750,122,1822,0,0,0,48,63,47,6,0,2108,5.5,51,1285,ยะลา,ยะลา
2275,202,แยกศรีเทพ - ซับบอน,52+057,126,118,27,11,5,555,61,117,104,109,1233,33.01,37,421,เพชรบูรณ์ที่ 2 (บึงสามพัน),เพชรบูรณ์
2244,100,มอดินแดง - ศรีเทพน้อย,1+500,131,45,21,8,7,377,72,57,30,20,768,25.26,63,338,เพชรบูรณ์ที่ 2 (บึงสามพัน),เพชรบูรณ์
1117,100,คลองแม่ลาย - อุ้มผาง,46+000,132,24,10,1,0,736,25,10,2,9,949,4.95,50,1398,กำแพงเพชร,กำแพงเพชร
